MONTH,WEEKOFMONTH,DAYOFWEEK,MAKE,ACCIDENTAREA,DAYOFWEEKCLAIMED,MONTHCLAIMED,WEEKOFMONTHCLAIMED,SEX,MARITALSTATUS,AGE,FAULT,POLICYTYPE,VEHICLECATEGORY,VEHICLEPRICE,REPNUMBER,DEDUCTIBLE,DRIVERRATING,DAYS_POLICY_ACCIDENT,DAYS_POLICY_CLAIM,PASTNUMBEROFCLAIMS,AGEOFVEHICLE,AGEOFPOLICYHOLDER,POLICEREPORTFILED,WITNESSPRESENT,AGENTTYPE,NUMBEROFSUPPLIMENTS,ADDRESSCHANGE_CLAIM,NUMBEROFCARS,YEAR,BASEPOLICY,FRAUDFOUND
Jul,3,Sunday,Honda,Rural,Wednesday,Jan,4,Male,Married,21,Policy_Holder,Sport-Collision,Sport,more_than_69000,4,400,4,more_than_30,more_than_30,none,4_years,26_to_30,No,No,External,3_to_5,no_change,1-vehicle,1994,Collision,Yes
Nov,5,Monday,Mazda,Urban,Wednesday,Dec,1,Male,Single,68,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,9,400,3,more_than_30,more_than_30,2_to_4,5_years,over_65,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Jan,1,Monday,Pontiac,Urban,Wednesday,Jan,1,Male,Married,50,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,8,400,2,more_than_30,more_than_30,none,7_years,41_to_50,No,No,External,none,under_6_months,1-vehicle,1994,All_Perils,Yes
Dec,1,Monday,Toyota,Rural,Tuesday,May,3,Male,Married,39,Policy_Holder,Sedan-All_Perils,Sedan,30000_to_39000,1,400,3,more_than_30,more_than_30,none,more_than_7,36_to_40,No,No,External,more_than_5,under_6_months,2-vehicles,1994,All_Perils,Yes
Dec,5,Wednesday,Pontiac,Urban,Wednesday,Jan,1,Male,Single,43,Policy_Holder,Sedan-Collision,Sedan,40000_to_59000,1,400,4,more_than_30,more_than_30,2_to_4,7_years,36_to_40,No,No,External,more_than_5,no_change,1-vehicle,1994,Collision,Yes
Dec,5,Friday,Honda,Urban,Monday,Jan,2,Male,Single,0,Policy_Holder,Utility-All_Perils,Utility,more_than_69000,14,400,1,more_than_30,more_than_30,1,new,16_to_17,No,No,External,none,4_to_8_years,2-vehicles,1994,All_Perils,Yes
Dec,3,Friday,Pontiac,Urban,Tuesday,Jan,3,Male,Married,41,Third_Party,Sedan-All_Perils,Sedan,less_than_20000,16,500,3,none,more_than_30,2_to_4,7_years,36_to_40,No,No,External,none,2_to_3_years,1-vehicle,1994,All_Perils,Yes
Jan,2,Monday,Chevrolet,Urban,Wednesday,Jan,3,Male,Married,33,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,13,400,1,more_than_30,more_than_30,none,7_years,31_to_35,No,No,External,none,no_change,1-vehicle,1994,Collision,Yes
Jan,2,Monday,Honda,Urban,Wednesday,Jan,2,Male,Married,37,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,5,400,2,more_than_30,more_than_30,none,7_years,36_to_40,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Jan,2,Tuesday,Honda,Urban,Friday,Jan,4,Male,Single,0,Policy_Holder,Sedan-All_Perils,Sedan,more_than_69000,12,400,4,more_than_30,more_than_30,none,new,16_to_17,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
